requested_budget,mixed_bits_per_layer,mixed_actual_total_bits,mixed_accuracy,mixed_mac_cost,uniform_bits_per_layer,uniform_accuracy,uniform_mac_cost,delta_acc_at_matched_bits
9,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
12,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
15,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
18,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
21,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
24,"[7, 8, 9]",24,0.9642,0.08439640278891838,"[8, 8, 8]",0.9662,0.10690789473684212,-0.0020000000000000018
27,"[9, 9, 9]",27,0.9664,0.13486842105263158,"[9, 9, 9]",0.9664,0.13486842105263158,0.0
30,"[10, 10, 10]",30,0.966,0.16611842105263155,"[10, 10, 10]",0.966,0.16611842105263155,0.0
36,"[13, 12, 11]",36,0.9662,0.27605741346331836,"[12, 12, 12]",0.9662,0.23848684210526316,0.0
45,"[17, 15, 13]",45,0.9662,0.4679189547726291,"[15, 15, 15]",0.9662,0.3717105263157895,0.0
60,"[24, 19, 17]",60,0.9662,0.919714475226754,"[20, 20, 20]",0.9662,0.6595394736842105,0.0
